segment_id,frame,x,y,phase
0,0,1711.000000,901.000000,wait
0,1,1711.000000,901.000000,wait
0,2,1711.000000,901.000000,wait
0,3,1711.000000,901.000000,wait
0,4,1711.000000,901.000000,wait
0,5,1711.000000,901.000000,wait
0,6,1720.343345,904.563972,move
0,7,1729.686691,908.127945,move
0,8,1739.030036,911.691917,move
0,9,1748.373381,915.255890,move
0,10,1757.716726,918.819862,move
0,11,1767.060072,922.383834,move
0,12,1776.403417,925.947807,move
0,13,1785.746762,929.511779,move
0,14,1795.090107,933.075752,move
0,15,1804.433453,936.639724,move
0,16,1813.776798,940.203696,move
0,17,1823.120143,943.767669,move
0,18,1832.463488,947.331641,move
0,19,1841.806834,950.895614,move
0,20,1851.150179,954.459586,move
0,21,1860.493524,958.023558,move
0,22,1862.000000,961.587531,move
0,23,1852.656655,965.151503,move
0,24,1843.313309,968.715476,move
0,25,1833.969964,972.279448,move
0,26,1824.626619,975.843421,move
0,27,1815.283274,979.407393,move
0,28,1805.939928,982.971365,move
0,29,1796.596583,986.535338,move
0,30,1787.253238,990.099310,move
0,31,1777.909893,992.000000,move
0,32,1768.566547,988.436028,move
0,33,1759.223202,984.872055,move
0,34,1749.879857,981.308083,move
0,35,1740.536512,977.744110,move
0,36,1731.193166,974.180138,move
0,37,1721.849821,970.616166,move
0,38,1712.506476,967.052193,move
0,39,1703.163131,963.488221,move
0,40,1693.819785,959.924248,move
0,41,1684.476440,956.360276,move
0,42,1675.133095,952.796304,move
0,43,1665.789749,949.232331,move
0,44,1656.446404,945.668359,move
0,45,1647.103059,942.104386,move
0,46,1637.759714,938.540414,move
0,47,1628.416368,934.976442,move
0,48,1619.073023,931.412469,move
0,49,1609.729678,927.848497,move
0,50,1600.386333,924.284524,move
0,51,1591.042987,920.720552,move
0,52,1581.699642,917.156579,move
0,53,1572.356297,913.592607,move
0,54,1563.012952,910.028635,move
0,55,1553.669606,906.464662,move
0,56,1544.326261,902.900690,move
0,57,1534.982916,899.336717,move
0,58,1525.639571,895.772745,move
0,59,1516.296225,892.208773,move
1,60,213.000000,878.000000,wait
1,61,213.000000,878.000000,wait
1,62,213.000000,878.000000,wait
1,63,213.000000,878.000000,wait
1,64,213.000000,878.000000,wait
1,65,213.000000,878.000000,wait
1,66,203.482598,874.930951,move
1,67,193.965196,871.861902,move
1,68,184.447794,868.792853,move
1,69,174.930393,865.723804,move
1,70,165.412991,862.654755,move
1,71,155.895589,859.585706,move
1,72,146.378187,856.516657,move
1,73,136.860785,853.447608,move
1,74,127.343383,850.378559,move
1,75,117.825981,847.309510,move
1,76,108.308580,844.240461,move
1,77,98.791178,841.171412,move
1,78,89.273776,838.102363,move
1,79,79.756374,835.033314,move
1,80,70.238972,831.964265,move
1,81,60.721570,828.895216,move
1,82,51.204168,825.826167,move
1,83,41.686766,822.757118,move
1,84,32.169365,819.688069,move
1,85,22.651963,816.619020,move
1,86,13.134561,813.549971,move
1,87,8.000000,810.480922,move
1,88,17.517402,807.411873,move
1,89,27.034804,804.342824,move
1,90,36.552206,801.273775,move
1,91,46.069607,798.204726,move
1,92,55.587009,795.135677,move
1,93,65.104411,792.066628,move
1,94,74.621813,788.997579,move
1,95,84.139215,785.928530,move
1,96,93.656617,782.859481,move
1,97,103.174019,779.790432,move
1,98,112.691420,776.721383,move
1,99,122.208822,773.652334,move
1,100,131.726224,770.583285,move
1,101,141.243626,767.514236,move
1,102,150.761028,764.445187,move
1,103,160.278430,761.376138,move
1,104,169.795832,758.307089,move
1,105,179.313234,755.238040,move
1,106,188.830635,752.168991,move
1,107,198.348037,749.099942,move
1,108,207.865439,746.030893,move
1,109,217.382841,742.961844,move
1,110,226.900243,739.892795,move
1,111,236.417645,736.823746,move
1,112,245.935047,733.754697,move
1,113,255.452448,730.685648,move
1,114,264.969850,727.616599,move
1,115,274.487252,724.547550,move
1,116,284.004654,721.478501,move
1,117,293.522056,718.409452,move
1,118,303.039458,715.340403,move
1,119,312.556860,712.271354,move
1,120,322.074261,709.202305,move
2,121,1482.000000,119.000000,wait
2,122,1482.000000,119.000000,wait
2,123,1482.000000,119.000000,wait
2,124,1482.000000,119.000000,wait
2,125,1482.000000,119.000000,wait
2,126,1482.000000,119.000000,wait
2,127,1482.000000,119.000000,wait
2,128,1491.032863,123.290383,move
2,129,1500.065726,127.580766,move
2,130,1509.098589,131.871149,move
2,131,1518.131452,136.161532,move
2,132,1527.164315,140.451915,move
2,133,1536.197178,144.742298,move
2,134,1545.230041,149.032681,move
2,135,1554.262904,153.323064,move
2,136,1563.295767,157.613447,move
2,137,1572.328630,161.903830,move
2,138,1581.361493,166.194213,move
2,139,1590.394356,170.484596,move
2,140,1599.427219,174.774979,move
2,141,1608.460082,179.065362,move
